question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
What is the average number of working horses of farms with more than 5000 total number of horses?,ما هو المتوسط ​​لعدد الخيول العاملة في المزارع التي تحتوي على أكثر من 5000 خيل في المجموع؟,8,,,,
Give the average number of working horses on farms with more than 5000 total horses.,اعرض المتوسط ​​لعدد الخيول العاملة في المزارع التي تحتوي على أكثر من 5000 خيل في المجموع.,8,,,,
What are the maximum and minimum number of cows across all farms.,ما هو الحد الأقصى والحد الأدنى لعدد الأبقار في جميع المزارع.,7,,,,
Return the maximum and minimum number of cows across all farms.,إرجع الحد الأقصى والحد الأدنى لعدد الأبقار في جميع المزارع.,8,,,,
How many different statuses do cities have?,كم عدد الحالات المختلفة للمدن؟,6,,,,
Count the number of different statuses.,عدد الحالات المختلفة.,7,,,,
List official names of cities in descending order of population.,اعرض قائمة بالأسماء الرسمية للمدن مرتبة تنازليًا حسب السكان.,8,,,,
"What are the official names of cities, ordered descending by population?",ما هي الأسماء الرسمية للمدن، مرتبة تنازليًا حسب السكان؟,8,,,,
List the official name and status of the city with the largest population.,اعرض قائمة بالاسم الرسمي والحالة للمدينة ذات أعلى سكان.,7,,,,
What is the official name and status of the city with the most residents?,ما هو الاسم الرسمي والحالة للمدينة ذات أكبر عدد سكان؟,7,,,,
Show the years and the official names of the host cities of competitions.,اعرض السنوات والأسماء الرسمية لمدن المضيفة للمسابقات.,8,,,,
Give the years and official names of the cities of each competition.,اعرض السنوات والأسماء الرسمية لمدن كل مسابقة.,7,,,,
Show the official names of the cities that have hosted more than one competition.,اعرض الأسماء الرسمية للمدن التي استضافت أكثر من مسابقة واحدة.,8,,,,
What are the official names of cities that have hosted more than one competition?,ما هي الأسماء الرسمية للمدن التي استضافت أكثر من مسابقة واحدة؟,8,,,,
Show the status of the city that has hosted the greatest number of competitions.,اعرض حالة المدينة التي استضافت أكبر عدد من المسابقات.,7,,,,
What is the status of the city that has hosted the most competitions?,ما هي حالة المدينة التي استضافت أكبر عدد من المسابقات؟,7,,,,
Please show the themes of competitions with host cities having populations larger than 1000.,اعرض مواضيع المسابقات التي تحمل مدن المضيفة عدد سكان أكبر من 1000.,7,,,,
What are the themes of competitions that have corresponding host cities with more than 1000 residents?,ما هي مواضيع المسابقات التي تحمل مدن المضيفة المقابلة لها أكثر من 1000 ساكن؟,7,,,,
Please show the different statuses of cities and the average population of cities with each status.,اعرض الحالات المختلفة للمدن والمتوسط ​​السكاني للمدن ذات كل حالة.,6,,,,
What are the statuses and average populations of each city?,ما هي الحالات والمتوسطات السكانية لكل مدينة؟,6,,,,
"Please show the different statuses, ordered by the number of cities that have each.",اعرض الحالات المختلفة، مرتبة حسب عدد المدن التي تحتل كل حالة.,7,,,,
"Return the different statuses of cities, ascending by frequency.",إرجع الحالات المختلفة للمدن، مرتبة تصاعديًا حسب التكرار.,7,,,,
List the most common type of Status across cities.,اعرض قائمة بأكثر نوع شائع للحالة عبر المدن.,8,,,,
What is the most common status across all cities?,ما هي الحالة الأكثر شيوعًا في جميع المدن؟,8,,,,
List the official names of cities that have not held any competition.,اعرض قائمة بالأسماء الرسمية للمدن التي لم تستضيف أي مسابقة.,7,,,,
What are the official names of cities that have not hosted a farm competition?,ما هي الأسماء الرسمية للمدن التي لم تستضف أي مسابقة زراعية؟,7,,,,
Show the status shared by cities with population bigger than 1500 and smaller than 500.,اعرض الحالة المشتركة بين المدن التي يزيد عدد سكانها عن 1500 وأقل من 500.,8,,,,
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,[Translation] ما هي الحالات التي تتناسب مع المدن التي يبلغ سكانها أكثر من 1500 والتي يبلغ سكانها أقل من 500؟,7,,,,
Find the official names of cities with population bigger than 1500 or smaller than 500.,[Translation] ابحث عن الأسماء الرسمية للمدن التي يبلغ سكانها أكثر من 1500 أو أقل من 500.,8,,,,
What are the official names of cities that have population over 1500 or less than 500?,[Translation] ما هي الأسماء الرسمية للمدن التي يبلغ سكانها أكثر من 1500 أو أقل من 500؟,8,,,,
"Show the census ranking of cities whose status are not ""Village"".","[Translation] أظهر ترتيب التعداد السكاني للمدن التي ليست حالتها ""Village"".",7,,,,
"What are the census rankings of cities that do not have the status ""Village""?","[Translation] ما هي ترتيبات التعداد السكاني للمدن التي ليست لديها حالة ""Village""؟",7,,,,
which course has most number of registered students?,[Translation] أي دورة لديها أكبر عدد من الطلاب المسجلين؟,7,,,,
What is the name of the course with the most registered students?,[Translation] ما هو اسم الدورة التي لديها أكبر عدد من الطلاب المسجلين؟,8,,,,
what is id of students who registered some courses but the least number of courses in these students?,[Translation] ما هو رقم تعريفى الطلاب الذين سجلوا في بعض الدورات ولكن أقل عدد من الدورات بين هؤلاء الطلاب؟,7,,,,
What are the ids of the students who registered for some courses but had the least number of courses for all students?,[Translation] ما هي أرقام تعريفية الطلاب الذين سجلوا في بعض الدورات ولكن كان لديهم أقل عدد من الدورات بين جميع الطلاب؟,7,,,,
what are the first name and last name of all candidates?,[Translation] ما هي الأسماء الأولى والأخيرة لجميع المرشحين؟,9,,,,
What are the first and last names of all the candidates?,[Translation] ما هي الأسماء الأولى والأخيرة لجميع المرشحين؟,9,,,,
List the id of students who never attends courses?,[Translation] اعرض قائمة بالارقام التعريفية للالطلاب الذين لم يحضروا أي دورات؟,6,,,,
What are the  ids of every student who has never attended a course?,[Translation] ما هي الأرقام التعريفية لجميع الطلاب الذين لم يحضروا أي دورة؟,7,,,,
List the id of students who attended some courses?,[Translation] اعرض قائمة بالارقام التعريفية للالطلاب الذين حضروا بعض الدورات؟,6,,,,
What are the ids of all students who have attended at least one course?,[Translation] ما هي أرقام تعريفية جميع الطلاب الذين حضروا على الأقل دورة واحدة؟,7,,,,
What are the ids of all students for courses and what are the names of those courses?,[Translation] ما هي أرقام تعريفية جميع الطلاب للدورات وما هي أسماء تلك الدورات؟,7,,,,
What is detail of the student who most recently registered course?,[Translation] ما هي تفاصيل الطالب الذي سجل في آخر دورة؟,8,,,,
What details do we have on the students who registered for courses most recently?,[Translation] ما هي التفاصيل التي لدينا عن الطلاب الذين سجلوا في الدورات مؤخرًا؟,8,,,,
How many students attend course English?,[Translation] كم عدد الطلاب الذين يحضرون دورة اللغة الإنجليزية؟,8,,,,
How many students are attending English courses?,[Translation] كم عدد الطلاب الذين يحضرون دورات اللغة الإنجليزية؟,9,,,,
How many courses do the student whose id is 171 attend?,[Translation] كم عدد الدورات التي يحضرها الطالب الذي يحمل الرقم 171؟,9,,,,
How many courses does the student with id 171 actually attend?,[Translation] كم عدد الدورات التي يحضرها الطالب الذي يحمل الرقم 171 فعليًا؟,9,,,,
Find id of the candidate whose email is stanley.monahan@example.org?,[Translation] ابحث عن رقم تعريفى المرشح الذي يحمل البريد الإلكتروني stanley.monahan@example.org؟,9,,,,
What is the id of the candidate whose email is stanley.monahan@example.org?,[Translation] ما هو رقم الرقم تعريفى للمرشح الذي يحمل البريد الإلكتروني stanley.monahan@example.org؟,9,,,,
Find id of the candidate who most recently accessed the course?,[Translation] ابحث عن رقم تعريفى المرشح الذي قام بالوصول إلى الدورة مؤخرًا؟,9,,,,
What is the id of the candidate who most recently accessed the course?,[Translation] ما هو رقم الرقم تعريفى للمرشح الذي قام بالوصول إلى الدورة مؤخرًا؟,9,,,,
What is detail of the student who registered the most number of courses?,[Translation] ما هي تفاصيل الطالب الذي سجل أكبر عدد من الدورات؟,8,,,,
What are the details of the student who registered for the most number of courses?,[Translation] ما هي تفاصيل الطالب الذي سجل لأكبر عدد من الدورات؟,8,,,,
List the id of students who registered some courses and the number of their registered courses?,[Translation] قائمة بمعرف الطلاب الذين سجلوا في بعض الدورات وعدد الدورات المسجلة لديهم؟,8,,,,
"For every student who is registered for some course, how many courses are they registered for?",[Translation] لكل طالب مسجل في بعض الدورات، كم عدد الدورات التي قاموا بالتسجيل فيها؟,9,,,,
How many registed students do each course have? List course name and the number of their registered students?,[Translation] كم عدد الطلاب المسجلين في كل دورة؟ قائمة بأسماء الدورات وعدد الطلاب المسجلين فيها؟,9,,,,
"For each course id, how many students are registered and what are the course names?",[Translation] لكل رقم تعريفى دورة، كم عدد الطلاب المسجلين وما هي أسماء الدورات؟,9,,,,
"Find id of candidates whose assessment code is ""Pass""?","[Translation] ابحث عن أرقام تعريفية المرشحين الذين يحملون رمز التقييم ""Pass""؟",9,,,,
What are the ids of the candidates that have an outcome code of Pass?,"[Translation] ما هي أرقام تعريفية المرشحين الذين لديهم رمز نتيجة ""Pass""؟",9,,,,
"Find the cell mobile number of the candidates whose assessment code is ""Fail""?","[Translation] ابحث عن رقم الجوال للمرشحين الذين يحملون رمز التقييم ""Fail""؟",9,,,,
"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?","[Translation] ما هي أرقام هواتف المحمول للمرشحين الذين حصلوا على رمز تقييم ""Fail""؟",9,,,,
What are the id of students who registered course 301?,[Translation] ما هي أرقام تعريفية الطلاب الذين سجلوا في الدورة 301؟,9,,,,
What are the ids of the students who registered for course 301?,[Translation] ما هي أرقام تعريفية الطلاب الذين سجلوا في الدورة 301؟,9,,,,
What is the id of the student who most recently registered course 301?,[Translation] ما هو رقم رقم تعريفى الطالب الذي سجل في الدورة 301 مؤخرًا؟,9,,,,
What are the ids of the students who registered for course 301 most recently?,[Translation] ما هي أرقام تعريفية الطلاب الذين سجلوا في الدورة 301 مؤخرًا؟,9,,,,
Find distinct cities of addresses of people?,[Translation] ابحث عن مدن مختلفة لعناوين الأشخاص؟,8,,,,
What are the different cities where people live?,[Translation] ما هي المدن المختلفة التي يعيش فيها الأشخاص؟,9,,,,
Find distinct cities of address of students?,[Translation] ابحث عن مدن مختلفة لعناوين الطلاب؟,8,,,,
What are the different cities where students live?,[Translation] ما هي المدن المختلفة التي يعيش فيها الطلاب؟,9,,,,
List the names of courses in alphabetical order?,[Translation] اعرض قائمة بأسماء الدورات بترتيب أبجدي؟,9,,,,
What are the names of the courses in alphabetical order?,[Translation] ما هي أسماء الدورات بترتيب أبجدي؟,9,,,,
List the first names of people in alphabetical order?,[Translation] قائمة بأسماء الأشخاص الأولى بترتيب أبجدي؟,9,,,,
What are the first names of the people in alphabetical order?,[Translation] ما هي أسماء الأشخاص الأولى بترتيب أبجدي؟,9,,,,
What are the id of students who registered courses or attended courses?,[Translation] ما هي أرقام تعريفية الطلاب الذين قاموا بتسجيل دورات أو حضورها؟,9,,,,
What are the ids of the students who either registered or attended a course?,[Translation] ما هي أرقام تعريفية الطلاب الذين قاموا بتسجيل دورات أو حضورها؟,8,,,,
Find the id of courses which are registered or attended by student whose id is 121?,[Translation] ابحث عن الرقم التعريفى للدورات التي تم التسجيل فيها أو حضورها من قبل الطالب الذي يحمل رقم تعريفى 121؟,9,,,,
What are the ids of the courses that are registered or attended by the student whose id is 121?,[Translation] ما هي أرقام تعريفية الدورات التي تم التسجيل فيها أو حضورها من قبل الطالب الذي يحمل رقم تعريفى 121؟,9,,,,
What are all info of students who registered courses but not attended courses?,[Translation] ما هي جميع المعلومات حول الطلاب الذين قاموا بتسجيل الدورات ولم يحضروها؟,8,,,,
What are all details of the students who registered but did not attend any course?,[Translation] ما هي جميع التفاصيل حول الطلاب الذين قاموا بالتسجيل ولكن لم يحضروا أي دورة؟,9,,,,
List the id of students who registered course statistics in the order of registration date.,[Translation] قائمة بأرقام تعريفية الطلاب الذين قاموا بتسجيل دورة في إحدى قاعات الإحصاء بترتيب تاريخ التسجيل.,8,,,,
What are the ids of the students who registered course statistics by order of registration date?,[Translation] ما هي أرقام تعريفية الطلاب الذين سجلوا في دورة إحصاء بترتيب تاريخ التسجيل؟,8,,,,
List the id of students who attended  statistics courses in the order of attendance date.,[Translation] قائمة بأرقام تعريفية الطلاب الذين حضروا دورات في إحصاء بترتيب تاريخ الحضور.,8,,,,
What are the ids of the students who attended courses in the statistics department in order of attendance date.,[Translation] ما هي أرقام تعريفية الطلاب الذين حضروا دورات في قسم الإحصاء بترتيب تاريخ الحضور.,8,,,,
Give me the dates when the max temperature was higher than 85.,[Translation] أعطني التواريخ عندما كانت درجة الحرارة القصوى أعلى من 85.,9,,,,
What are the dates with a maximum temperature higher than 85?,[Translation] ما هي التواريخ التي كانت فيها درجة الحرارة القصوى أعلى من 85؟,def main():,,,,
What are the names of stations that have latitude lower than 37.5?,[Translation] ما هي أسماء المحطات التي تحمل خط العرض أقل من 37.5؟,"""Main function.""",,,,
What are the names of all stations with a latitude smaller than 37.5?,[Translation] ما هي أسماء جميع المحطات التي تحمل خط العرض أقل من 37.5؟,,,,,
"For each city, return the highest latitude among its stations.",[Translation] لكل مدينة، ماهو أعلى خط عرض بين محطاتها؟,"with open(DATASET_PATH, ""r"", encoding=""utf-8"") as f:",,,,
"For each city, what is the highest latitude for its stations?",[Translation] لكل مدينة، ما هو أعلى خط عرض بين محطاتها؟,data = json.load(f),,,,
Give me the start station and end station for the trips with the three oldest id.,[Translation] ماهى محطة البداية ومحطة النهاية للرحلات ذات أقدم ثلاثة أرقام تعريفية؟,,,,,
What is the station station and end station for the trips with the three smallest ids?,[Translation] ما هي محطة البداية ومحطة النهاية للرحلات ذات أصغر ثلاثة معرفات؟,"prompt_template = """"""Imagine you are a translator from english to",,,,
What is the average latitude and longitude of stations located in San Jose city?,[Translation] ما هو متوسط خط العرض وخط الطول للمحطات الموجودة في مدينة سان جوزيه؟,arabic for some questions. Give me the translation and the translation only of the following questions.,,,,
What is the average latitude and longitude in San Jose?,[Translation] ما هو متوسط خط العرض وخط الطول في سان جوزيه؟,Here are some instructions to stick to while translating:,,,,
What is the id of the trip that has the shortest duration?,[Translation] ما هو معرف الرحلة التي تمتلك أقصر مدة؟,- Do not translate things in quotations.,,,,
What is the id of the shortest trip?,[Translation] ما هو الرقم التعريفى لرحلة الأقصر؟,- Output translations in question format.,,,,
What is the total and maximum duration of trips with bike id 636?,[Translation] ما هو إجمالي وأقصى مدة للرحلات برقم رقم تعريفى الدراجة 636؟,,,,,
What is the total and maximum duration for all trips with the bike id 636?,[Translation] ما هو إجمالي وأقصى مدة لجميع الرحلات برقم رقم تعريفى الدراجة 636؟,Just give me the arabic translation of the questions.,,,,
"For each zip code, return the average mean temperature of August there.",[Translation] لكل رمز بريدي، ماهو متوسط درجة الحرارة المتوسطة لشهر أغسطس هناك؟,"> Questions:\n{text}""""""",,,,
"For each zip code, what is the average mean temperature for all dates that start with '8'?",[Translation] لكل رمز بريدي، ما هو متوسط درجة الحرارة المتوسطة لجميع التواريخ التي تبدأ بالرقم '8'؟,,,,,
"From the trip record, find the number of unique bikes.",[Translation] استنادًا إلى سجل الرحلات، ابحث عن عدد الدراجات الفريدة.,"current_questions = """"",,,,
How many different bike ids are there?,[Translation] كم عدد معرفات الدراجات المختلفة؟,start_from = 600,,,,
What is the number of distinct cities the stations are located at?,[Translation] ما هو عدد المدن المتميزة التي يتواجد فيها المحطات؟,"for i, d in enumerate(data):",,,,
How many different cities have these stations?,[Translation] كم عدد المدن المختلفة التي تحتوي على هذه المحطات؟,if i < start_from:,,,,
How many stations does Mountain View city has?,[Translation] كم عدد المحطات التي تمتلكها مدينة ماونتن فيو؟,continue,,,,
How many stations are in Mountain View?,[Translation] كم عدد المحطات في ماونتن فيو؟,"db_id = d[""db_id""]",,,,
Return the unique name for stations that have ever had 7 bikes available.,[Translation] أرجع الاسم الفريد للمحطات التي كانت لديها في أي وقت 7 دراجات متاحة.,"db_path = f""database/{db_id}/{db_id}.sqlite""",,,,
What are the different names for each station that has ever had 7 bikes available?,[Translation] ما هي الأسماء المختلفة لكل محطة كانت لديها في أي وقت 7 دراجات متاحة؟,conn = sqlite3.connect(db_path),,,,
Which start station had the most trips starting from August? Give me the name and id of the station.,[Translation] أي محطة بداية كانت لديها أكبر عدد من الرحلات بدءًا من شهر أغسطس؟ قدم لي اسم ورقم تعريف المحطة.,"schema = conn.execute(""SELECT * FROM sqlite_master"").fetchall()[0][-1]",,,,
What are the start station's name and id for the one that had the most start trips in August?,[Translation] ما هي أسماء ورقم تعريف محطة البداية التي كانت لديها أكبر عدد من رحلات البداية في أغسطس؟,"current_questions += f""{i}. [Question] {d['question']}\n[Schema] {schema}\n\n""",,,,
Which bike traveled the most often in zip code 94002?,[Translation] أي دراجة سفرت الأكثر كثافة في الرمز البريدي 94002؟,if i % 15 == 0:,,,,
What is the id of the bike that traveled the most in 94002?,[Translation] ما هو رقم التعريف الخاص بالدراجة التي سافرت الأكثر في 94002؟,print(prompt_template.format(text=current_questions)),,,,
How many days had both mean humidity above 50 and mean visibility above 8?,[Translation] كم عدد الأيام التي كان فيها كل من رطوبة الهواء المتوسطة أعلى من 50 ورؤية المتوسطة أعلى من 8؟,input(),,,,
What is the number of days that had an average humity above 50 and an average visibility above 8?,[Translation] ما هو عدد الأيام التي كانت فيها الرطوبة المتوسطة أعلى من 50 وكانت الرؤية المتوسطة أعلى من 8؟,"current_questions = """"",,,,
"What is the latitude, longitude, city of the station from which the shortest trip started?",[Translation] ما هي خطوط العرض والطول والمدينة للمحطة التي بدأت فيها الرحلة الأقصر؟,9,,,,
"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?",[Translation] ما هي خطوط العرض والطول والمدينة للمحطة التي بدأت فيها الرحلة ذات أقل مدة؟,10,,,,
What are the ids of stations that are located in San Francisco and have average bike availability above 10.,[Translation] ما هي معرفات المحطات التي تقع في سان فرانسيسكو ولديها متوسط توفر الدراجات أكثر من 10.,9,,,,
What are the ids of the stations in San Francisco that normally have more than 10 bikes available?,[Translation] ما هي معرفات المحطات في سان فرانسيسكو التي عادةً ما تحتوي على أكثر من 10 دراجة متاحة؟,9,,,,
What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,[Translation] ما هي الأسماء ومعرفات المحطات التي كانت لديها أكثر من 14 دراجة متاحة في المتوسط أو تم تثبيتها في ديسمبر؟,9,,,,
What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,[Translation] ما هي الأسماء ومعرفات جميع المحطات التي كان لديها أكثر من 14 دراجة متاحة في المتوسط أو كانت بها دراجات تم تثبيتها في ديسمبر؟,9,,,,
What is the 3 most common cloud cover rates in the region of zip code 94107?,[Translation] ما هي أكثر 3 معدلات للتغطية السحابية شيوعًا في منطقة الرمز البريدي 94107؟,9,,,,
What are the 3 most common cloud covers in the zip code of 94107?,[Translation] ما هي أكثر 3 تغطيات سحاب شيوعًا في رمز البريدي 94107؟,9,,,,
What is the zip code in which the average mean sea level pressure is the lowest?,[Translation] ما هو الرمز البريدي الذي يحتوي على أدنى متوسط لضغط مستوى سطح البحر؟,10,,,,
What is the zip code that has the lowest average mean sea level pressure?,[Translation] ما هو الرمز البريدي الذي يحتوي على أدنى متوسط لضغط مستوى سطح البحر؟,10,,,,
What is the average bike availability in stations that are not located in Palo Alto?,[Translation] ما هو متوسط توفر الدراجات في المحطات التي لا تقع في بالو ألتو؟,9,,,,
What is the average bike availablility for stations not in Palo Alto?,[Translation] ما هو متوسط توفر الدراجات للمحطات التي لا تقع في بالو ألتو؟,9,,,,
What is the average longitude of stations that never had bike availability more than 10?,[Translation] ما هو متوسط ​​خط الطول للمحطات التي لم تكن لديها توفر للدراجات أكثر من 10؟,9,,,,
What is the mean longitude for all stations that have never had more than 10 bikes available?,[Translation] ما هو المتوسط ​​لخط الطول لجميع المحطات التي لم تكن لديها أكثر من 10 دراجة متاحة؟,9,,,,
When and in what zip code did max temperature reach 80?,[Translation] متى وفي أي رمز بريدي وصلت درجة الحرارة القصوى إلى 80؟,10,,,,
What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?,[Translation] ما هي رموز البريد التي تحتوي على محطة ودرجة حرارة قصوى تزيد عن أو تساوي 80، ومتى وصلت إلى تلك الحرارة؟,9,,,,
Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,[Translation] أعطني معرفات لجميع الرحلات التي جرت في منطقة رمز بريدي بمتوسط ​​درجة حرارة متوسطة أعلى من 60.,8,,,,
"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?",[Translation] لكل رمز بريدي، ابحث عن معرفات جميع الرحلات التي لديها متوسط درجة حرارة متوسط أعلى من 60؟,8,,,,
"For each zip code, return how many times max wind speed reached 25?",[Translation] لكل رمز بريدي، أعد كم مرة وصلت فيها أقصى سرعة رياح إلى 25؟,9,,,,
"For each zip code, how many times has the maximum wind speed reached 25 mph?",[Translation] لكل رمز بريدي، كم مرة وصلت فيها السرعة القصوى للرياح إلى 25 ميلا في الساعة؟,9,,,,
On which day and in which zip code was the min dew point lower than any day in zip code 94107?,[Translation] في أي يوم وفي أي رمز بريدي كانت نقطة الندى الدنيا أقل من أي يوم في رمز البريدي 94107؟,10,,,,
"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?",[Translation] أيام كانت نقطة الندى الدنيا فيها أقل من أي يوم في رمز البريدي 94107، وفي أي رموز بريد تم قياس تلك القراءات؟,8,,,,
"For each trip, return its ending station's installation date.",[Translation] لكل رحلة، أرجع تاريخ تثبيت محطتها النهائية.,8,,,,
What is the installation date for each ending station on all the trips?,[Translation] ما هو تاريخ التثبيت لكل محطة نهاية على جميع الرحلات؟,9,,,,
Which trip started from the station with the largest dock count? Give me the trip id.,[Translation] أي رحلة بدأت من المحطة التي كانت لديها أكبر عدد من الأرصفة؟ قدم لي الرقم التعريفي للرحلة.,8,,,,
What is the id of the trip that started from the station with the highest dock count?,[Translation] ما هو معرف الرحلة التي بدأت من المحطة ذات العدد الأعلى للأرصفة؟,8,,,,
